"user_id","image_paths","claim_status","issue_type","object_part","evidence_standard_met","severity","risk_flags","overall_confidence","image_confidence","claim_confidence","evidence_confidence","risk_confidence","explanation","health_score","fraud_score"
"user_040","images/test/case_040/img_1.jpg;images/test/case_040/img_2.jpg;images/test/case_040/img_3.jpg","not_enough_information","unknown","unknown","false","unknown","manual_review_required","0.0","0.0","0.0","0.0","0.0","An error occurred during automated processing.","0","0"
"user_041","images/test/case_041/img_1.jpg;images/test/case_041/img_2.jpg;images/test/case_041/img_3.jpg","not_enough_information","unknown","unknown","false","unknown","manual_review_required","0.0","0.0","0.0","0.0","0.0","An error occurred during automated processing.","0","0"
"user_042","images/test/case_042/img_1.jpg;images/test/case_042/img_2.jpg","not_enough_information","unknown","unknown","false","unknown","manual_review_required","0.0","0.0","0.0","0.0","0.0","An error occurred during automated processing.","0","0"
"user_043","images/test/case_043/img_1.jpg","not_enough_information","unknown","unknown","false","unknown","manual_review_required","0.0","0.0","0.0","0.0","0.0","An error occurred during automated processing.","0","0"
"user_044","images/test/case_044/img_1.jpg;images/test/case_044/img_2.jpg","not_enough_information","unknown","unknown","false","unknown","manual_review_required","0.0","0.0","0.0","0.0","0.0","An error occurred during automated processing.","0","0"
"user_045","images/test/case_045/img_1.jpg;images/test/case_045/img_2.jpg","not_enough_information","unknown","unknown","false","unknown","manual_review_required","0.0","0.0","0.0","0.0","0.0","An error occurred during automated processing.","0","0"
"user_047","images/test/case_047/img_1.jpg;images/test/case_047/img_2.jpg","not_enough_information","unknown","unknown","false","unknown","manual_review_required","0.0","0.0","0.0","0.0","0.0","An error occurred during automated processing.","0","0"
"user_046","images/test/case_046/img_1.jpg;images/test/case_046/img_2.jpg","not_enough_information","unknown","unknown","false","unknown","manual_review_required","0.0","0.0","0.0","0.0","0.0","An error occurred during automated processing.","0","0"
"user_034","images/test/case_048/img_1.jpg;images/test/case_048/img_2.jpg","not_enough_information","unknown","unknown","false","unknown","manual_review_required","0.0","0.0","0.0","0.0","0.0","An error occurred during automated processing.","0","0"
"user_042","images/test/case_049/img_1.jpg;images/test/case_049/img_2.jpg","not_enough_information","unknown","unknown","false","unknown","manual_review_required","0.0","0.0","0.0","0.0","0.0","An error occurred during automated processing.","0","0"
"user_022","images/test/case_050/img_1.jpg;images/test/case_050/img_2.jpg","not_enough_information","unknown","unknown","false","unknown","manual_review_required","0.0","0.0","0.0","0.0","0.0","An error occurred during automated processing.","0","0"
"user_016","images/test/case_051/img_1.jpg;images/test/case_051/img_2.jpg;images/test/case_051/img_3.jpg","not_enough_information","unknown","unknown","false","unknown","manual_review_required","0.0","0.0","0.0","0.0","0.0","An error occurred during automated processing.","0","0"
"user_033","images/test/case_052/img_1.jpg;images/test/case_052/img_2.jpg","not_enough_information","unknown","unknown","false","unknown","manual_review_required","0.0","0.0","0.0","0.0","0.0","An error occurred during automated processing.","0","0"
"user_045","images/test/case_053/img_1.jpg;images/test/case_053/img_2.jpg","not_enough_information","unknown","unknown","false","unknown","manual_review_required","0.0","0.0","0.0","0.0","0.0","An error occurred during automated processing.","0","0"
"user_041","images/test/case_054/img_1.jpg","not_enough_information","unknown","unknown","false","unknown","manual_review_required","0.0","0.0","0.0","0.0","0.0","An error occurred during automated processing.","0","0"
"user_040","images/test/case_055/img_1.jpg;images/test/case_055/img_2.jpg","not_enough_information","unknown","unknown","false","unknown","manual_review_required","0.0","0.0","0.0","0.0","0.0","An error occurred during automated processing.","0","0"
"user_045","images/test/case_056/img_1.jpg;images/test/case_056/img_2.jpg","not_enough_information","unknown","unknown","false","unknown","manual_review_required","0.0","0.0","0.0","0.0","0.0","An error occurred during automated processing.","0","0"
